Condition,Medicine,Diet,Exercise,Home Remedy,Doctor
Chronic Kidney Disease,Amlodipine|Furosemide|Calcium Acetate,Low Sodium Diet|Limit Protein|Low Potassium Foods,Light Walking|Yoga|Breathing Exercises,Nettle Tea|Apple Cider Vinegar|Baking Soda Water,Nephrologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Chronic Kidney Disease,Amlodipine|Furosemide|Calcium Acetate,Low Sodium Diet|Limit Protein|Low Potassium Foods,Light Walking|Yoga|Breathing Exercises,Nettle Tea|Apple Cider Vinegar|Baking Soda Water,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Chronic Kidney Disease,Amlodipine|Furosemide|Calcium Acetate,Low Sodium Diet|Limit Protein|Low Potassium Foods,Light Walking|Yoga|Breathing Exercises,Nettle Tea|Apple Cider Vinegar|Baking Soda Water,Nephrologist
Chronic Kidney Disease,Amlodipine|Furosemide|Calcium Acetate,Low Sodium Diet|Limit Protein|Low Potassium Foods,Light Walking|Yoga|Breathing Exercises,Nettle Tea|Apple Cider Vinegar|Baking Soda Water,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Kidney Inflammation,Prednisone|Cyclophosphamide|Tacrolimus,Anti-inflammatory Diet|Limit Salt|Plant-based Meals,Rest|Mild Stretching|Yoga,Tulsi Juice|Turmeric Water|Barley Water,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Kidney Stone,Potassium Citrate|Tamsulosin|Pain Relievers,Drink More Water|Avoid Oxalate-rich Foods,Moderate Activity|Stretching|Walking,Lemon Juice|Apple Cider Vinegar|Basil Juice,Urologist
Chronic Kidney Disease,Amlodipine|Furosemide|Calcium Acetate,Low Sodium Diet|Limit Protein|Low Potassium Foods,Light Walking|Yoga|Breathing Exercises,Nettle Tea|Apple Cider Vinegar|Baking Soda Water,Nephrologist
High Creatinine Level,Lanthanum|Sevelamer|Cinacalcet,Low Phosphorus Diet|Hydration|Avoid Red Meat,Breathing Exercises|Walking,Nettle Leaf Tea|Garlic|Chamomile Tea,Nephrologist
Proteinuria,ACE Inhibitors|ARBs|Diuretics,Low Protein Diet|Sodium Restriction|Whole Foods,Mild Exercises|Breathing Practices,Onion Juice|Green Tea|Coriander Seeds,Nephrologist
